song_key,song_title,is_cover,n_plays,n_shows,first_played,last_played,album,n_videos
Brilliant Disguise,Brilliant Disguise,True,1,1,1995-09-21,1995-09-21,Unreleased,0
New Matha,New Matha,False,1,1,1998-10-10,1998-10-10,Unreleased,0
Noche del Guajolote,Noche del Guajolote,False,1,1,2015-04-13,2015-04-13,I Like Walt,0
Superman,Superman,True,1,1,2016-04-19,2016-04-19,Unreleased,0
For the Snakes,For the Snakes,False,1,1,2021-09-08,2021-09-08,Songs for Pierre Chuvin,0
No Surprises,No Surprises,True,1,1,2000-10-19,2000-10-19,Unreleased,0
François Mitterrand,François Mitterrand,True,1,1,1996-03-21,1996-03-21,Gatherings,0
Take A Letter Maria,Take A Letter Maria,True,1,1,1997-11-14,1997-11-14,Unreleased,0
Free Fallin',Free Fallin',True,1,1,2009-04-02,2009-04-02,Unreleased,0
Tallahasee,Tallahasee,False,1,1,2021-08-10,2021-08-10,Tallahassee,0
Brave,Brave,True,1,1,1995-04-19,1995-04-19,Stroke - Songs for Chris Knox,0
Nikki Oh Nikki,Nikki Oh Nikki,False,1,1,1999-07-23,1999-07-23,Unreleased,0
Teenage World,Teenage World,False,1,1,2014-06-14,2014-06-14,Transmissions to Horace,0
Freebird,Freebird,False,1,1,2009-10-11,2009-10-11,Unreleased,0
Your Daddy Loves You,Your Daddy Loves You,False,1,1,2020-02-20,2020-02-20,unreleased,0
