show_id,note_seq,note
"2008-11-07_-_Theater_of_the_Living_Arts_-_Philadelphia,_PA",1,"John 's solo set was songs 7 through 9, and Kaki King played on songs 10 through 14."
"2008-11-09_-_Webster_Hall_-_New_York,_NY",1,John's solo set was songs 7 through 9.
"2005-10-17_-_Lee's_Palace_-_Toronto,_Ontario",1,Songs 14 through 17 featured Prayers & Tears of Arthur Digby Sellers.
"2013-06-05_-_Maxwell's_-_Hoboken,_NJ",1,""" Going to Queens "" was on the setlist, but John and Peter ""chickened out"" and it was not played."
"2013-06-05_-_Maxwell's_-_Hoboken,_NJ",2,"""Alpha Omega"" was played in what John described as the ""rocking"" version"
"2008-12-05_-_Manning_Bar_-_Sydney,_Australia",1,John's solo set was songs 7 through 9.
"2013-06-07_-_Center_Church_on_the_Green_-_New_Haven,_CT",1,"Opening act The Baptist Generals could not make the show, so it was advertised as ""An Evening With"" The Mountain Goats."
"2006-08-10_-_40_Watt_Club_-_Athens,_GA",1,"""I Am Morris Townsend"" is a song by Perry Owen Wright of The Prayers and Tears of Arthur Digby Sellers. Perry sang vocals while John Darnielle ""ripped some shredding leads""."
"2008-12-14_-_The_Zoo_-_Brisbane,_Australia",1,"John Darnielle was sick at this show, and couldn't sing for the whole set. Starting with ""International Small Arms Traffic Blues"", Peter Hughes took over lead vocals for the rest of the night (except for the last two songs, which were sung by the crowd)."
"2008-12-14_-_The_Zoo_-_Brisbane,_Australia",2,John's solo set was songs 1 through 6.
"2008-12-14_-_The_Zoo_-_Brisbane,_Australia",3,""" Moon Over Goldsboro "" was on the setlist, but was replaced by ""See America Right""."
2009-02-05_-_Thursday_Concert_-_Ships_and_Dip_V,1,the Mountain Goats were performing as one of the many bands on the Barenaked Ladies 's Ships and Dip V cruise.
2009-02-05_-_Thursday_Concert_-_Ships_and_Dip_V,2,John 's solo set was songs 7 through 9.
"2013-06-14_-_Taft_Ballroom_-_Cincinnati,_OH",1,Songs 8 through 10 were performed with John on keyboard.
"2010-10-21_-_Mercury_Lounge_-_New_York,_NY",1,This was an Extra Lens show.
"2002-02-27_-_Café_du_Nord_-_San_Francisco,_CA",1,This was an Extra Glenns show.
"2009-02-24_-_Herbst_Theatre_-_San_Francisco,_CA",1,"Before John Darnielle played these songs, he was interviewed by both author Tobias Wolff and the audience. ""Woke Up New"" was actually performed in the middle of the interview session."
"2013-06-17_-_Lincoln_Hall_-_Chicago,_IL",1,"Before playing "" Alpha Chum Gatherer "", John spoke of and sang the chorus of another song that was left off Tallahassee , "" Going to Federal Prison ""."
"2009-03-18_-_The_Grey_Eagle_-_Asheville,_NC",1,"John Vanderslice played on songs 16 through 19 and 23, and sang lead vocals on song 17."
"2009-03-19_-_Duke_Coffeehouse_-_Durham,_NC",1,"John Vanderslice played on songs 17 through 22, and sang lead vocals on song 17."
"2009-03-20_-_Attucks_Theatre_-_Norfolk,_VA",1,"John Vanderslice played on songs 17 through 21, and sang lead vocals on ""Columns Pillars Steps""."
"2012-04-21_-_The_Gargoyle_-_St._Louis,_MO",1,John 's solo set was songs 7 through 9.
"2009-03-24_-_Pearl_Street_-_Northampton,_MA",1,"John Vanderslice played on songs 16 through 20, and sang lead vocals on song 18."
"2011-12-16_-_Troubadour_-_Los_Angeles,_CA",1,This was a John Darnielle solo show.
