song_key,song_title,n_plays,first_t,first_played,last_played,album,is_cover,opportunities,play_rate,play_rate_shrunk,deep_cut,surprisal
The Ultimate Jedi Who Wastes All the Other Jedi and Eats Their Bones,The Ultimate Jedi Who Wastes All the Other Jedi and Eats Their Bones,2,880,2017-12-14,2020-02-21,Unreleased,False,431,0.004640371229698376,0.005758608129972106,False,5.157059477577042
Two-Headed Boy,Two-Headed Boy,2,74,1999-10-09,2001-10-19,Unreleased,True,1237,0.0016168148746968471,0.0020661354547473506,False,6.182075346664611
Noctifer Birmingham,Noctifer Birmingham,2,21,1996-01-15,2012-06-30,Fast Forward 2,False,1290,0.0015503875968992248,0.0019825437149751297,True,6.2233745542695615
Any Available Surface,Any Available Surface,2,369,2009-02-25,2009-03-18,Unreleased,False,942,0.0021231422505307855,0.002699721690870499,True,5.91460658874007
Exit Portland Oregon,Exit Portland Oregon,2,310,2008-02-25,2008-02-26,Unreleased,False,1001,0.001998001998001998,0.0025437142670102055,True,5.97412995623903
Pure Honey,Pure Honey,2,786,2016-10-27,2016-11-21,Philyra,False,525,0.0038095238095238095,0.004765380305720037,False,5.346377932737608
Going to Bogota,Going to Bogota,2,1256,2025-09-17,2025-09-18,Nothing for Juice,False,55,0.03636363636363636,0.0346284302215656,False,3.363080251610674
Bad Company,Bad Company,2,678,2015-01-25,2016-04-16,Unreleased,True,633,0.00315955766192733,0.0039772316487249925,False,5.527169267350795
Milkcrate,Milkcrate,2,20,1995-09-21,1996-01-18,Unreleased,True,1291,0.001549186676994578,0.00198103147720627,False,6.2241376218380635
Saigon Shrunken Panorama,Saigon Shrunken Panorama,2,52,1997-06-22,2021-09-16,Acuarela Songs,False,1259,0.0015885623510722795,0.0020305959864092417,True,6.1994259396532065
Going to Brazil,Going to Brazil,2,38,1996-11-09,2010-05-30,Unreleased,False,1273,0.0015710919088766694,0.0020086096416221345,True,6.210312516846222
Merry Christmas from the Family,Merry Christmas from the Family,2,250,2006-12-18,2010-12-17,Unreleased,True,1061,0.001885014137606032,0.0024025275361863273,False,6.031233955713573
Sally MacLennane,Sally MacLennane,2,1184,2024-03-19,2024-03-20,Unreleased,True,127,0.015748031496062992,0.017667566439574286,False,4.0360247248531005
Matthew 11:14-19,Matthew 11:14-19,2,1016,2021-09-07,2024-03-02,The Life of the World in Flux,False,295,0.006779661016949152,0.008244864338468,False,4.798164776899997
Going the Ways,Going the Ways,2,766,2016-07-22,2018-05-27,Unreleased,False,545,0.003669724770642202,0.004596694277198973,False,5.382417869220805
The Pieman,The Pieman,2,8,1992-12-27,2016-04-16,A Munchies Kinda Xmas,False,1303,0.0015349194167306216,0.001963062937730476,True,6.23324930218932
Are Friends Electric?,Are Friends Electric?,1,24,1996-02-26,1996-02-26,Unreleased,False,1287,0.000777000777000777,0.0012219833715512013,True,6.707280025893892
Those Treasures Will Never Befall You,Those Treasures Will Never Befall You,1,566,2012-09-07,2012-09-07,,True,745,0.0013422818791946308,0.0020877545968855165,False,6.171666146096206
2/3 Jim's Head,2/3 Jim's Head,1,134,2003-09-27,2003-09-27,Unreleased,True,1177,0.0008496176720475786,0.0013342792536486384,False,6.619364017827643
Yellow Precious Letter,Yellow Precious Letter,1,383,2009-04-03,2009-04-03,Unreleased,False,928,0.0010775862068965517,0.001684738677866477,True,6.386144814524692
Yellow Coat,Yellow Coat,1,276,2007-06-16,2007-06-16,Unreleased,False,1035,0.000966183574879227,0.00151386944703073,True,6.493086358179837
