song_key,song_title,n_main,n_encore,is_cover,n_tracked_plays,encore_rate,encore_rate_shrunk,eligible
The Anglo-Saxons,The Anglo-Saxons,3,0,False,3,0.0,0.1574193548387097,False
Stars Fell on Alabama,Stars Fell on Alabama,3,0,False,3,0.0,0.1574193548387097,False
Fire Editorial,Fire Editorial,3,0,False,3,0.0,0.1574193548387097,False
Duane Allman Slept Here,Duane Allman Slept Here,3,0,False,3,0.0,0.1574193548387097,False
Black Molly,Black Molly,2,1,False,3,0.3333333333333333,0.24832844574780058,False
Birthday Song: This Time Has Gone,Birthday Song: This Time Has Gone,3,0,False,3,0.0,0.1574193548387097,False
Billy the Kid's Dream of the Magic Shoes,Billy the Kid's Dream of the Magic Shoes,3,0,False,3,0.0,0.1574193548387097,False
California Song,California Song,0,3,False,3,1.0,0.4301466275659824,False
Pink and Blue,Pink and Blue,3,0,False,3,0.0,0.1574193548387097,False
Night of the Mules,Night of the Mules,3,0,False,3,0.0,0.1574193548387097,False
Rescue Breathing,Rescue Breathing,3,0,False,3,0.0,0.1574193548387097,False
Parisian Enclave,Parisian Enclave,3,0,False,3,0.0,0.1574193548387097,False
Hello Sarah,Hello Sarah,3,0,False,3,0.0,0.1574193548387097,False
Abandoning My Father Talking Blues,Abandoning My Father Talking Blues,3,0,False,3,0.0,0.1574193548387097,False
You're in Maya,You're in Maya,2,1,False,3,0.3333333333333333,0.24832844574780058,False
Third Snow Song,Third Snow Song,3,0,False,3,0.0,0.1574193548387097,False
Absolute Lithops Effect,Absolute Lithops Effect,3,0,False,3,0.0,0.1574193548387097,False
The Window Song,The Window Song,3,0,False,3,0.0,0.1574193548387097,False
California Jam,California Jam,3,0,False,3,0.0,0.1574193548387097,False
The Coroner’s Gambit,The Coroner’s Gambit,2,0,False,2,0.0,0.17316129032258065,False
Born Ready,Born Ready,2,0,False,2,0.0,0.17316129032258065,False
Counting Song for Bitter Children,Counting Song for Bitter Children,1,1,False,2,0.5,0.27316129032258063,False
The Ballad of Bull Ramos,The Ballad of Bull Ramos,2,0,False,2,0.0,0.17316129032258065,False
Earth Air Water Trees,Earth Air Water Trees,2,0,False,2,0.0,0.17316129032258065,False
Blood Royal,Blood Royal,2,0,False,2,0.0,0.17316129032258065,False
Crows,Crows,2,0,False,2,0.0,0.17316129032258065,False
Dilaudid,Dilaudid,2,0,False,2,0.0,0.17316129032258065,False
Against Agamemnon,Against Agamemnon,2,0,False,2,0.0,0.17316129032258065,False
Young Caesar 2000,Young Caesar 2000,2,0,False,2,0.0,0.17316129032258065,False
Hand of Death,Hand of Death,2,0,False,2,0.0,0.17316129032258065,False
Going to Bogota,Going to Bogota,2,0,False,2,0.0,0.17316129032258065,False
Orange Ball of Hate,Orange Ball of Hate,2,0,False,2,0.0,0.17316129032258065,False
Going to Michigan,Going to Michigan,2,0,False,2,0.0,0.17316129032258065,False
Standard Bitter Love Song Number 1,Standard Bitter Love Song Number 1,2,0,False,2,0.0,0.17316129032258065,False
Stack Em Up,Stack Em Up,2,0,False,2,0.0,0.17316129032258065,False
Snow Owl,Snow Owl,2,0,False,2,0.0,0.17316129032258065,False
Spilling Toward Alpha,Spilling Toward Alpha,2,0,False,2,0.0,0.17316129032258065,False
Going to Malibu,Going to Malibu,2,0,False,2,0.0,0.17316129032258065,False
Fresh Berries for You,Fresh Berries for You,2,0,False,2,0.0,0.17316129032258065,False
Get Famous,Get Famous,2,0,False,2,0.0,0.17316129032258065,False
Store,Store,2,0,False,2,0.0,0.17316129032258065,False
