city,n_shows,raw_mean_bits,shrunk_mean_bits,lat,lon
Green Bay,1,2.481322021967393,2.625587118822562,44.51916,-88.01983
Iowa City,8,2.6056935381184942,2.624656897023976,41.66113,-91.53017
Chattanooga,2,2.5477486278536525,2.624445930314297,35.04563,-85.30968
Newcastle,2,2.5338545885901147,2.6216671224615893,-32.92953,151.7801
Lancaster,1,2.4267460778710457,2.6195231250340787,40.03788,-76.30551
Grinnell,1,2.408694648817909,2.6175174106948416,41.60054,-93.60911
Wilmington,4,2.562696468751522,2.616645660203479,34.23556,-77.94604
Berlin,2,2.5069504228292567,2.616286289309418,52.52437,13.41053
Black Mountain,1,2.394394873439262,2.6159285467638806,35.22709,-80.84313
Charleston,3,2.5400900534173503,2.6153847461534285,32.77632,-79.93275
Los Angeles,23,2.604484038811397,2.6145837077450897,34.05223,-118.24368
Colorado Springs,1,2.381183559278971,2.6144606229682927,38.83388,-104.82136
Millersville,1,2.370230564723385,2.6132436235732275,39.95238,-75.16362
Worcester,1,2.3679088647963145,2.6129856569146646,42.26259,-71.80229
Akron,1,2.354885344667895,2.6115385991226177,41.08144,-81.51901
Harrisburg,1,2.3451172212385054,2.6104532520749077,40.2737,-76.88442
Greenville,2,2.473247299944401,2.6095456647324466,34.85262,-82.39401
Fairbanks,1,2.3342756887157106,2.6092486373501527,64.83778,-147.71639
Haverford,1,2.316238477004424,2.6072445027155653,39.95238,-75.16362
Rochester,3,2.5101552635336386,2.6072207125487803,43.15478,-77.61556
Northampton,8,2.567988783128309,2.6058045195288835,42.32509,-72.6412
Isle of Palms,1,2.251849939685408,2.60009022079123,34.00071,-81.03481
Lubbock,1,2.2505812085349017,2.599949250663396,33.57786,-101.85517
Evansville,1,2.2138672801419554,2.595869925286402,37.97476,-87.55585
Evanston,7,2.533095981392433,2.592042261145513,42.04114,-87.69006
Antwerp,1,2.1530620514104086,2.5891137887606748,50.85045,4.34878
Ponte Vedra Beach,1,2.1230833175261137,2.5857828183290863,30.23969,-81.38564
Calgary,1,2.121325583963252,2.5855875145998795,51.05011,-114.08529
San Luis Obispo,2,2.3504367847269974,2.584983561688966,35.28275,-120.65962
"Barrowland, Glasgow",1,2.113718092296401,2.5847422377480074,51.50853,-0.12574
Rocky Mount,1,2.093543083847376,2.58250057014256,36.85293,-75.97799
Dublin,10,2.531455160831856,2.581306314208568,53.33306,-6.24889
Princeton,1,2.046897582397386,2.5773177366481166,40.34872,-74.65905
Homer,1,2.0394422411573623,2.576489365399225,40.71427,-74.00597
Fremantle,1,2.0304387635064485,2.575488978993568,-33.86785,151.20732
Denver,10,2.52094491219742,2.575467287189437,39.73915,-104.9847
Bend,1,2.025602743969418,2.5749516434894537,44.05817,-121.31531
Hudson,1,2.01793518865536,2.5740996928990025,40.71427,-74.00597
Westerly,1,2.014189204329827,2.573683472418388,41.3776,-71.82729
Gothenberg,1,1.9940633562997512,2.571447267081713,59.32938,18.06871
Katoomba,1,1.992638585573808,2.5712889592232746,-33.86785,151.20732
Gilford,1,1.985842688673196,2.570533859567651,42.99564,-71.45479
Jacksonville,2,2.262650725808808,2.567426349905328,30.33218,-81.65565
Hamilton,1,1.9568989520702544,2.567317888833991,40.71427,-74.00597
Saint Paul,1,1.948231562519009,2.566354845550519,44.94441,-93.09327
Hickory,1,1.9452710331130387,2.5660258978387445,35.73319,-81.3412
Eugene,3,2.358261510896312,2.5657951436476907,44.05207,-123.08675
Baldwinsville,1,1.941198766316228,2.56557342375021,40.71427,-74.00597
Groningen,1,1.936590231642896,2.5650613643420623,53.21917,6.56667
Pawtucket,1,1.930976275100089,2.5644375913928616,41.87871,-71.38256
Mt. Pleasant,1,1.9286560727396649,2.564179791130592,34.00071,-81.03481
