show_id,date,tour,n_candidates,n_played,mean_surprisal_played_bits,cross_entropy_bits
"2002-03-01_-_Slow_Bar_-_Nashville,_TN",2002-03-01,Midwest Tour 2002,252.0,5.0,2.9259298460666403,0.13402051339519994
"2002-03-07_-_Independent_Media_Center_-_Urbana,_IL",2002-03-07,Midwest Tour 2002,252.0,22.0,3.4308816714021035,0.36191235441106057
"2002-03-08_-_The_Empty_Bottle_-_Chicago,_IL",2002-03-08,Midwest Tour 2002,253.0,27.0,3.2330965045864217,0.425844172006059
"2002-03-08_-_WNUR_Session_-_Evanston,_IL",2002-03-08,Midwest Tour 2002,254.0,7.0,4.067854422501681,0.18310084404132948
"2002-03-10_-_The_Green_Room_-_Iowa_City,_IA",2002-03-10,Midwest Tour 2002,257.0,21.0,3.5868797739648475,0.4050719903271976
"2002-03-11_-_The_Maintenance_Shop_-_Ames,_IA",2002-03-11,Midwest Tour 2002,257.0,19.0,2.493371901153573,0.2691277036510138
"2002-04-13_-_Sky_Church_-_Experience_Music_Project_-_Seattle,_WA",2002-04-13,,257.0,14.0,2.501372608279554,0.20045273718482962
"2002-07-24_-_Sound_&_Fury_In-Store_-_New_York,_NY",2002-07-24,,257.0,6.0,4.17026981702952,0.1737916646578883
"2002-10-04_-_Le_Club_Shock_-_Rochester,_NY",2002-10-04,,260.0,2.0,2.624944147864314,0.10587774065738131
"2002-10-08_-_McGarrigle's_-_Sligo,_Ireland",2002-10-08,,261.0,13.0,3.54954422234644,0.23939513018155278
"2002-10-09_-_The_Cobblestone_-_Dublin,_Ireland",2002-10-09,,263.0,17.0,3.2394216506133566,0.26312474019776366
"2002-10-09_-_Radio_Na_Life_Session_-_Dublin,_Ireland",2002-10-09,,262.0,4.0,4.042168698001904,0.09821670055064294
"2002-10-10_-_ICA_-_London,_England",2002-10-10,,264.0,10.0,2.9290981251448294,0.1710954447899559
"2002-10-23_-_Bottom_of_the_Hill_-_San_Francisco,_CA",2002-10-23,,266.0,17.0,3.3403459033842435,0.27227558804239904
"2002-11-01_-_The_Empty_Bottle_-_Chicago,_IL",2002-11-01,United States Tour 2002,270.0,14.0,2.810327610324966,0.21081187403590926
"2002-11-03_-_The_Grog_Shop_-_Cleveland,_OH",2002-11-03,United States Tour 2002,271.0,15.0,3.0710785228084783,0.3035949423310394
"2002-11-06_-_Knitting_Factory_-_New_York,_NY",2002-11-06,United States Tour 2002,272.0,16.0,2.079994237074689,0.20737260759024706
"2002-11-08_-_Go!_Rehearsal_Studios,_Room_4_-_Carrboro,_NC",2002-11-08,United States Tour 2002,272.0,16.0,1.5692974031887026,0.16014007866075564
"2002-11-13_-_The_Opolis_-_Norman,_OK",2002-11-13,United States Tour 2002,272.0,14.0,1.5484942037128502,0.15455369264192562
"2002-12-06_-_VPRO_Session_-_Amsterdam,_Netherlands",2002-12-06,,273.0,5.0,3.357928829044847,0.09475683369795979
"2002-12-07_-_Amstel_Festival_-_Amsterdam,_The_Netherlands_(Mountain_Goats_set)",2002-12-07,,274.0,12.0,3.814009521495919,0.19592727390649292
"2002-12-07_-_Amstel_Festival_-_Amsterdam,_The_Netherlands_(Extra_Glenns_set)",2002-12-07,,273.0,10.0,6.055949104268098,0.2566769273873249
"2003-01-29_-_Mean_Fiddler_-_London,_England",2003-01-29,European Tour 2003,274.0,9.0,2.8633535107374843,0.1485946078964648
"2003-01-30_-_Peel_Session_-_London,_England",2003-01-30,European Tour 2003,275.0,3.0,0.6980070524454883,0.05820038948718557
"2003-02-01_-_Briton's_Protection_-_Manchester,_England",2003-02-01,European Tour 2003,275.0,9.0,1.2859817477221922,0.09061368780043946
"2003-02-05_-_Hanbury_Ballroom_-_Brighton,_England",2003-02-05,European Tour 2003,278.0,14.0,2.648901501435268,0.20141369166577786
"2003-02-06_-_Spitz_-_London,_England",2003-02-06,European Tour 2003,279.0,16.0,3.1026242850746497,0.2638267252396941
"2003-02-14_-_Substanz_-_Munich,_Germany",2003-02-14,European Tour 2003,280.0,15.0,1.7810733127685656,0.15570224658855986
2003-02-17_-_P3_Pop_Session_-_Sweden,2003-02-17,European Tour 2003,281.0,2.0,1.3658986899939412,0.10830156784756796
"2003-02-18_-_Uffes_Källare_-_Växjö_-_Gothenberg,_Sweden",2003-02-18,European Tour 2003,281.0,16.0,2.000085144340193,0.1616319555619442
"2003-02-20_-_Herrgårn_-_Linköping,_Sweden",2003-02-20,European Tour 2003,281.0,9.0,1.829058718390148,0.12400753254039514
"2003-03-14_-_The_Hideout_-_Austin,_TX",2003-03-14,,281.0,8.0,5.663230120353846,0.18969003342440882
"2003-04-04_-_Macrock_Festival_-_Court_Square_Theatre_-_Harrisonburg,_VA",2003-04-04,Ya'll Know What Time It Is Tour 2003,281.0,11.0,4.127854699592035,0.18388157271088837
"2003-04-06_-_Gate_City_Noise_-_Greensboro,_NC",2003-04-06,Ya'll Know What Time It Is Tour 2003,283.0,9.0,2.5332809496748814,0.16916743828583544
"2003-04-06_-_Go!_Rehearsal_Studios,_Room_4_-_Carrboro,_NC",2003-04-06,Ya'll Know What Time It Is Tour 2003,283.0,17.0,2.918388031548639,0.23037875162266203
"2003-04-08_-_Beta_Bar_-_Tallahassee,_FL",2003-04-08,Ya'll Know What Time It Is Tour 2003,284.0,19.0,2.417223870045285,0.22153358354436817
"2003-04-09_-_Will's_Pub_-_Orlando,_FL",2003-04-09,Ya'll Know What Time It Is Tour 2003,284.0,16.0,2.12025493349745,0.19430829458218768
"2003-06-06_-_Triple_Rock_Social_Club_-_Minneapolis,_MN",2003-06-06,,284.0,12.0,4.158471652089534,0.22868815691072747
"2003-06-27_-_Mains_D'oeuvres,_Mofo_Festival_-_Paris,_France",2003-06-27,,284.0,17.0,4.822211322044499,0.3133023117322828
