song_key,shows_since_last,played_last_show,career_rate,song_age_years,tour_rate,in_tour_pool,is_special_show,ewma_10,ewma_25,ewma_50,ewma_100,ewma_200,new_material,as_of_date,tour,p_model
Palmcorder Yajna,16,0.0,0.1615575807787904,23.6249144421629,0.0,0.0,0.0,0.0939354621962349,0.11159725071712571,0.1296202644006994,0.14844571714347995,0.15198060896476726,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.02842103340151644
Michael Myers Resplendent,14,0.0,0.055876685934489405,19.058179329226558,0.0,0.0,0.0,0.027806416152499614,0.027848028119024044,0.030505330037947045,0.03310920974912534,0.03714788003368735,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.027213490192630446
Animal Mask,17,0.0,0.13843888070692195,12.83230663928816,0.0,0.0,0.0,0.022182235463848884,0.022561166784125467,0.027988493691551184,0.04206434643597996,0.07138486117972147,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.02683609221429294
Maybe Sprout Wings,15,0.0,0.109375,19.761806981519506,0.0,0.0,0.0,0.033795822184182964,0.04064854723939864,0.045751036729091345,0.05504181708608005,0.07246028999807955,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.026757695548790154
The Recognition Scene,12,0.0,0.062403697996918334,31.359342915811087,0.0,0.0,0.0,0.035900474967048394,0.03252799903890343,0.028502634497784986,0.027128323356267865,0.029438028961876146,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.02583708558439046
The Mess Inside,14,0.0,0.05844155844155844,25.686516084873375,0.0,0.0,0.0,0.0443091080644865,0.04360372643209863,0.051098453882974286,0.06442047886608136,0.06613639138360282,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.02562037814290931
Song for Black Sabbath's Second North American Tour,18,0.0,0.033182503770739065,12.347707049965777,0.0,0.0,0.0,0.039395415546531615,0.0462932070398233,0.03549863310731453,0.025801257530644148,0.024405742557117728,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.02542989943343533
Heel Turn 2,21,0.0,0.23863636363636365,11.104722792607802,0.0,0.0,0.0,0.03013179643748572,0.06881034803643475,0.11095768179600306,0.14795271537550825,0.18166479567293836,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.025403698794889525
Love Love Love,17,0.0,0.23626852659110723,21.620807665982205,0.0,0.0,0.0,0.022782703883061903,0.022887304788352724,0.025843268934138408,0.04934892727917544,0.10698676602726732,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.02487979017114486
Heretic Pride (Song),21,0.0,0.1774033696729435,18.48870636550308,0.0,0.0,0.0,0.07158130533573039,0.18546142622425432,0.2471096415047003,0.2538781364813034,0.22238310891160853,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.024146019654540676
Ontario,13,0.0,0.0171875,29.73579739904175,0.0,0.0,0.0,0.029151599648708736,0.020079029999956595,0.01372797222030747,0.010300024098259983,0.009519196070996836,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.02401618449974183
In League with Dragons (song),26,0.0,0.15521628498727735,7.082819986310746,0.0,0.0,0.0,0.056912439656919826,0.07501977155293006,0.061813607060395924,0.07107394645367411,0.09957727973382276,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.023375020775781543
Cotton,19,0.0,0.17015926236378875,23.299110198494184,0.0,0.0,0.0,0.042257747331573586,0.07969450200701632,0.11706349853070415,0.15468238560840858,0.17703739889481698,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.022535373369828103
Billy the Kid's Dream of the Magic Shoes,15,0.0,0.011737089201877934,29.724845995893222,0.0,0.0,0.0,0.029922649752517065,0.029572629347444084,0.02354721931226175,0.017076411768595725,0.012822720459403126,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.021642681454446432
Going to Scotland,15,0.0,0.017788089713843776,31.09924709103354,0.0,0.0,0.0,0.025379144355704222,0.01918358739698359,0.014339727951314881,0.011884812956495815,0.0106141361502267,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.021054261669452467
It Froze Me,16,0.0,0.06530291109362707,29.53593429158111,0.0,0.0,0.0,0.023746806282835077,0.020256184462041985,0.018893352519960438,0.02204049211220269,0.030305801720198346,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.021042479057094703
In the Craters on the Moon,21,0.0,0.1542192046556741,18.680355920602327,0.0,0.0,0.0,0.01674330418866346,0.017154841029901606,0.02218832970433395,0.04657066245935902,0.08524346885887446,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.020991347868065127
Dutch Orchestra Blues,19,0.0,0.03712871287128713,23.838466803559207,0.0,0.0,0.0,0.04281204922725003,0.07236625395477764,0.08553338121956093,0.08249908700681356,0.06851998246249327,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.020782940861349575
Wild Sage,21,0.0,0.1344922232387923,19.95071868583162,0.0,0.0,0.0,0.016751398833009298,0.016721280174399816,0.01541109759146205,0.02150807093560674,0.04482923533210756,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.020369620081006505
Rescue Breathing,25,0.0,0.009174311926605505,6.261464750171116,0.0,0.0,0.0,0.012687875583562614,0.014068100648233604,0.010341220048017229,0.008279821945796679,0.008135574461410973,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.02031789073603175
Lovecraft in Brooklyn,21,0.0,0.06943105110896818,19.041752224503764,0.0,0.0,0.0,0.017199799144525255,0.02954606954214477,0.04140720388010633,0.04666147381984545,0.05021517656618178,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.019933872961979345
